Filename,Birth,Death,Publish,ActivityYear,SUM,傳記類_%,公車類_%,公車類_%,哀祭類_%,序跋類_%,書簡類_%,詩類_%,雜著類_%
483. 치헌집(癡軒集).xml,1680,1748,1870,1714,174,0.5747126436781609,1.1494252873563218,0.0,6.896551724137931,2.8735632183908044,11.494252873563218,73.5632183908046,3.4482758620689653
424. 수곡집(睡谷集).xml,1645,1718,1739,1681,569,5.272407732864675,21.441124780316343,0.0,7.381370826010544,2.10896309314587,18.629173989455182,41.476274165202106,3.690685413005272
506. 회헌집(悔軒集).xml,1691,1757,1762,1724,1191,3.3585222502099077,10.831234256926953,0.0,3.27455919395466,0.9235936188077246,4.030226700251889,75.23089840470193,2.3509655751469354
116. 기재집(企齋集).xml,1484,1555,1573,1519,1315,1.2927756653992395,1.7490494296577948,0.0,1.1406844106463878,0.532319391634981,0.0,93.68821292775665,1.596958174904943
104. 눌재집(訥齋集).xml,1474,1530,1796,1502,661,0.9077155824508321,1.361573373676248,0.0,1.5128593040847202,1.059001512859304,0.0,93.79727685325264,1.361573373676248
92. 탁영집(濯纓集).xml,1464,1498,1512,1481,121,5.785123966942149,17.355371900826448,0.0,12.396694214876034,14.87603305785124,0.8264462809917356,24.793388429752067,23.96694214876033
113. 희락당고(希樂堂稿).xml,1481,1537,,1509,413,6.2953995157385,2.1791767554479415,0.0,2.1791767554479415,2.9055690072639226,0.0,74.09200968523002,12.34866828087167
422. 하당집(荷塘集).xml,1643,1719,1810,1681,264,9.469696969696969,0.0,0.0,15.151515151515152,3.4090909090909087,4.545454545454546,45.83333333333333,21.59090909090909
94. 농암집(聾巖集).xml,1467,1555,1665,1511,244,2.459016393442623,1.2295081967213115,0.0,8.19672131147541,3.6885245901639343,6.967213114754098,74.59016393442623,2.8688524590163933
117. 사재집(思齋集).xml,1485,1541,1591,1513,428,1.4018691588785046,2.102803738317757,0.0,0.7009345794392523,1.8691588785046727,0.9345794392523363,88.78504672897196,4.205607476635514
106. 묵재집(默齋集).xml,1476,1549,1561,1512,395,3.79746835443038,1.2658227848101267,0.0,0.7594936708860759,1.2658227848101267,0.0,91.64556962025317,1.2658227848101267
