제목,저자,생년,몰년,활동연도,公車類,書簡類,序跋類,詩類,哀祭類,雜著類,傳記類
新齋先生文集,曺霖,1711,1790,1750,0,6.818181818,14.39393939,45.45454545,12.12121212,4.545454545,16.66666667
順菴集,安鼎福,1712,1791,1751,0,34.50292398,11.30604288,28.84990253,4.093567251,3.898635478,17.34892788
小山先生文集,李光靖,1714,1789,1751,0,36.60287081,17.70334928,30.86124402,1.196172249,3.110047847,10.52631579
李參奉集,李匡呂,1720,1783,1751,0,0,1.226993865,98.77300613,0,0,0
警弦齋集,姜世晉,1717,1786,1751,0,0.974025974,0.974025974,90.90909091,1.948051948,2.272727273,2.922077922
溪村先生文集,李道顯,1726,1776,1751,0,12.3853211,4.128440367,75.2293578,4.128440367,3.669724771,0.458715596
保晩齋集,徐命膺,1716,1787,1751,0,5.688622754,11.9760479,56.28742515,1.796407186,12.2754491,11.9760479
負喧先生文集,崔益重,1717,1788,1752,0,2.636203866,13.35676626,60.80843585,9.314586995,13.35676626,0.527240773
陋室集,李重延,1711,1794,1752,0,25.87412587,1.398601399,55.24475524,13.98601399,2.097902098,1.398601399
竹圃集,孫思翼,1711,1794,1752,0,11.94968553,8.805031447,57.2327044,10.6918239,6.918238994,4.402515723
篁林先生文集,尹思進,1713,1792,1752,0,7.653061224,5.102040816,72.44897959,7.653061224,2.551020408,4.591836735
?菴集,??,1717,1789,1753,0,10.07194245,0.71942446,89.20863309,0,0,0
晩悔集,安景時,1712,1794,1753,0,31.69642857,4.464285714,47.32142857,15.17857143,1.339285714,0
陽洞遺稿,朴燦瑛,1736,1771,1753,0,2.222222222,3.555555556,91.11111111,1.333333333,1.777777778,0
梧山文集,徐昌載,1726,1781,1753,0,34,4,39.33333333,10,7.333333333,5.333333333
行休齋文集,李若采,1727,1782,1754,0,0,3.428571429,91.42857143,1.142857143,2.857142857,1.142857143
雙梅堂遺集,安慶稷,1721,1787,1754,0,7.142857143,16.66666667,75.5952381,0,0.595238095,0
括虛大師遺集,取如,1720,1789,1754,0,0,3.2,96.8,0,0,0
冷窩集,安景漸,1722,1789,1755,0,8.59375,14.0625,55.46875,10.9375,3.90625,7.03125
艮翁集,李獻慶,1719,1791,1755,0,6.22406639,20.74688797,13.69294606,17.84232365,28.21576763,13.2780083
眠雲齋文集,李周遠,1714,1796,1755,0,12.10762332,7.623318386,55.15695067,8.071748879,4.035874439,13.0044843
霽軒集,沈定鎭,1725,1786,1755,0,2.202643172,6.167400881,71.36563877,5.726872247,8.810572687,5.726872247
三山齋集,金履安,1722,1791,1756,0,17.94871795,7.977207977,58.11965812,8.547008547,3.703703704,3.703703704
蘆厓集,柳道源,1721,1791,1756,0,27.66798419,0.395256917,60.86956522,4.347826087,0.790513834,5.928853755
性堂集,鄭赫臣,1719,1793,1756,0,19.65811966,1.709401709,72.64957265,4.273504274,0,1.709401709
寒澗先生文集,金漢祿,1722,1790,1756,0,25.74525745,4.60704607,52.57452575,10.8401084,1.62601626,4.60704607
芝村遺集,朴履坤,1730,1783,1756,0,0,3.58974359,91.28205128,3.076923077,2.051282051,0
遯庵集,曺德臣,1722,1791,1756,0,18.75,13.19444444,52.08333333,5.555555556,4.861111111,5.555555556
懶窩集,奇彦鼎,1716,1797,1756,0,25.33333333,5.666666667,64,1.666666667,1.333333333,2
磨巖文集,趙進道,1724,1788,1756,0,11.64383562,2.739726027,76.71232877,4.794520548,2.739726027,1.369863014
魯宇集,鄭忠弼,1725,1789,1757,0,10.95890411,2.397260274,77.73972603,6.164383562,2.054794521,0.684931507
漢湖文集,李敏德,1728,1786,1757,0,2.097902098,4.895104895,65.73426573,23.07692308,4.195804196,0
立菴集,朴俊欽,1719,1796,1757,0,28.06122449,4.081632653,49.48979592,7.142857143,6.632653061,4.591836735
守吾齋遺集,安敏修,1724,1790,1757,0,21.9047619,0,50.47619048,21.9047619,5.714285714,0
七巖文集,金夢華,1723,1792,1757,0,2.766798419,9.090909091,75.49407115,5.533596838,3.557312253,3.557312253
石堂遺稿,金相定,1727,1788,1757,0,0,0,100,0,0,0
可齋文集,權明佑,1722,1795,1758,0,18.91891892,1.351351351,64.86486486,10.13513514,2.027027027,2.702702703
農隱集,李?,1729,1788,1758,0,1.294498382,1.941747573,85.4368932,0,10.03236246,1.294498382
蒙巖集,鄭熺(火晃),1723,1793,1758,0,16.58986175,6.451612903,55.29953917,14.74654378,1.382488479,5.529953917
荷棲集,趙璥,1727,1789,1758,0,2.528089888,6.460674157,73.31460674,9.550561798,3.93258427,4.213483146
樊巖集,蔡濟恭,1720,1799,1759,0,2.191987906,5.064247921,66.28873772,7.180650038,7.482993197,11.79138322
后山先生文集,李宗洙,1722,1797,1759,0,68.125,5.625,15.3125,5.9375,0.9375,4.0625
菊齋文集,全就大,1728,1790,1759,0,16.43835616,3.424657534,76.71232877,2.054794521,1.369863014,0
醇庵集,吳載純,1727,1792,1759,0,3.260869565,8.695652174,69.83695652,3.804347826,7.336956522,7.065217391
菊泉先生爛稿,許?,1724,1794,1759,0,0,6.194690265,93.80530973,0,0,0
芹谷遺稿,李宗郁,1737,1781,1759,0,0,1.261829653,95.2681388,1.261829653,1.892744479,0.315457413
雲?集,崔光璧,1728,1791,1759,0,4.06504065,1.219512195,85.36585366,2.43902439,3.25203252,3.658536585
川沙先生文集,金宗德,1724,1797,1760,0,60.28806584,4.115226337,26.33744856,6.378600823,2.057613169,0.823045267
?齋先生遺稿續集,黃胤錫,1729,1791,1760,0,13.01775148,6.863905325,75.62130178,1.775147929,1.065088757,1.656804734
?齋先生遺稿,黃胤錫,1729,1791,1760,0,15.65017261,9.436133487,64.32681243,2.416570771,3.107019563,5.063291139
石崖先生文集,洪鳳周,1725,1796,1760,0,9.839816934,1.372997712,86.04118993,0.228832952,1.14416476,1.372997712
靜窩先生文集,趙錫喆,1724,1799,1761,0,18.27956989,11.82795699,55.91397849,8.243727599,3.94265233,1.792114695
沙川文集,徐昌鏡,1726,1799,1762,0,14.28571429,2.521008403,70.58823529,10.92436975,1.680672269,0
存齋集,魏伯珪,1727,1799,1763,0,4.361370717,13.39563863,51.71339564,1.557632399,19.9376947,9.034267913
一夢稿,李奎象,1727,1799,1763,0,0,7.810107198,78.56049005,5.819295559,3.215926493,4.594180704
夢梧集,金鍾秀,1728,1799,1763,0,3.06122449,15.30612245,54.59183673,7.653061224,4.591836735,14.79591837
耳溪集,洪良浩,1724,1802,1763,0,1.731601732,6.926406926,65.36796537,5.988455988,7.575757576,12.40981241
?山先生文集,南基萬,1730,1796,1763,0,15.60693642,2.89017341,64.16184971,13.87283237,2.312138728,1.156069364
梧竹齋文集,趙宜陽,1719,1808,1763,0,1.421800948,1.579778831,93.83886256,1.579778831,0.473933649,1.105845182
潛溪文集,權昌植,1724,1804,1764,0,3.96039604,0,79.20792079,7.920792079,2.97029703,5.940594059
一峰集,趙錫晦,1727,1802,1764,0,3.51758794,2.512562814,82.4120603,7.035175879,4.522613065,0
歸樂窩集,柳匡天,1732,1799,1765,0,21.0816777,2.538631347,72.9580574,1.214128035,1.655629139,0.55187638
九曲遺稿,李重?,1728,1803,1765,0,0.934579439,1.401869159,95.79439252,1.401869159,0.46728972,0
